Address,Amount,Bonus
0x9dda370f43567b9c757a3f946705567bce482c42,"107,842",0%
0x6c2ad5f7dae6c6512ac18b17c00f8f5e34490d37,"107,842",0%
0x063e6848f73cd96a903c014e041d9556575ca855,"107,842",0%
0x67827e822979bade1f37873e075fbd2e6066c584,"107,842",0%
0xa2e6b878206c979f68e43a7ecb8fd4d764f82cb0,"107,842",0%
0x7994e98bffa681018020d9b49b2b839367977f47,"107,842",0%
0x96bbac32ceb001eea651a2b8c67bbc3311420459,"107,842",0%
0x8326bdc2de36e7799b0018c33292fd64454cdc38,"107,842",0%
0xdfb831345eb9a3c6bae7b0ceb7d0f3e5e10041ab,"107,842",0%
0x88b770c48cec70b17bfb3a04ec16292c713284aa,"107,842",0%
0xa6656aa654eb4c25a2ff2f050d284a88bd30874e,"107,842",0%
0x81275febb3ce87a7c0b498ffca2b11318fa1699d,"107,842",0%
0x2e3d9fcaca2dcf1ddc56e7dc084551027c045403,"107,842",0%
0xa5747c711b7c08983e992dd7aeec2eebc6b713df,"107,842",0%
0x094a8703d890a139070ca15d3cc3ee5ab7cb0227,"107,842",0%
0xcbed0f1d897e75ed92b437eca6dad5d819e313cc,"107,842",0%
0x9f394569a5d2af700a5e6eaefa067373d1b12c3c,"107,842",0%
0x1d0f66557be50d3035e48fae5e9480567532fd9a,"107,842",0%
0x504c3dcaccfdcb655e6ff48d679af773d4d89cac,"107,842",0%
0x914ddcd0d936bd8085434d3e8c7d232e282d558b,"107,842",0%
0x4a9f064aa31e61bc70020b7ee446bae1335f8e22,"107,842",0%
0xa5956b392abd37c1759147d225492ebd73546f7c,"107,842",0%
0x59e212204c9164592558ad70714d27c3cb9f8f09,"107,842",0%
0x5a9611364f46e246bc9a6097c9d6bcb6bd9e67a9,"107,842",0%
0x88e1d504fd6551a7b7b19e1aa6881de1a9f18ca7,"107,842",0%
0x4fde3cc490771a6164ed60e2d6a95fca5540af6a,"107,842",0%
0x9d825600a05d9083afe97ab10be990178ec22358,"107,842",0%
0x7393009c9138c519088462a4b5bc008f3bb12e2d,"107,842",0%
0x2caf78c0833271f03c9bb45bfcfb54560edfa3e7,"107,842",0%
0x218c9ee01f2a6a4c218db8f807f2e467beb7c2c2,"107,842",0%
